timestamp(ms),accel_magnitude,gyro,gyro_x,gyro_y,gyro_z,imu_moving,test_target,test_mode,
"1769473677.958",,,,"0.24",,,,,
"1769473677.959",,,,,"-1.16",,,,
"1769473677.96",,,,,,"0",,,
"1769473678.154","0.99",,,,,,,,
"1769473678.156",,,"0",,,,,,
"1769473678.16",,,,"0.3","-0.73","0",,,
"1769473678.353","0.97",,,,,,,,
"1769473678.357",,,"-0.55",,,,,,
"1769473678.363",,,,"-0.85",,,,,
"1769473678.364",,,,,"-0.85",,,,
"1769473678.365",,,,,,"0",,,
"1769473678.56","1",,,,,,,,
"1769473678.561",,,"0.37","-0.85","-0.73",,,,
"1769473678.57",,,,,,"0",,,
"1769473678.753","0.99",,,,,,,,
"1769473678.756",,,"-0.43",,,,,,
"1769473678.758",,,,"-0.37",,,,,
"1769473678.759",,,,,"-1.04",,,,
"1769473678.76",,,,,,"0",,,
"1769473678.953","1",,,,,,,,
"1769473678.956",,,"-0.24",,,,,,
"1769473678.958",,,,"-0.49",,,,,
"1769473678.959",,,,,"-1.1",,,,
"1769473678.96",,,,,,"0",,,
"1769473679.153","0.99",,,,,,,,
"1769473679.156",,,"-0.18",,,,,,
"1769473679.159",,,,"0.37","-0.91",,,,
"1769473679.162",,,,,,"0",,,
"1769473679.354","1",,,,,,,,
"1769473679.356",,,"-0.12",,,,,,
"1769473679.359",,,,"0.3","-1.16",,,,
"1769473679.363",,,,,,"0",,,
"1769473679.554","1.01",,,,,,,,
"1769473679.556",,,"0.18",,,,,,
"1769473679.559",,,,"-0.18","-0.61",,,,
"1769473679.563",,,,,,"0",,,
"1769473679.754","1",,,,,,,,
"1769473679.756",,,"0.12",,,,,,
"1769473679.76",,,,"1.46","-0.85","0",,,
"1769473679.955","0.99",,,,,,,,
"1769473679.959",,,"-0.37",,,,,,
"1769473679.963",,,,"0.18",,,,,
"1769473679.964",,,,,"-0.79","0",,,
"1769473680.156","0.99",,,,,,,,
"1769473680.157",,,"-0.12",,,,,,
"1769473680.159",,,,"-0.43","-0.98",,,,
"1769473680.161",,,,,,"0",,,
"1769473680.353","1",,,,,,,,
"1769473680.356",,,"-0.43",,,,,,
"1769473680.359",,,,"0.73",,,,,
"1769473680.36",,,,,"-0.61",,,,
"1769473680.361",,,,,,"0",,,
"1769473680.554","1",,,,,,,,
"1769473680.556",,,"0.12",,,,,,
"1769473680.56",,,,"0.37","-0.98","0",,,
"1769473680.754","0.99",,,,,,,,
"1769473680.759",,,"-0.43","0.37","-0.67",,,,
"1769473680.765",,,,,,"0",,,
"1769473680.954","1.01",,,,,,,,
"1769473680.956",,,"-1.04",,,,,,
"1769473680.959",,,,"0.06","-0.98",,,,
"1769473680.96",,,,,,"0",,,
"1769473681.161","1",,"-0.55","0.49",,,,,
"1769473681.162",,,,,"-1.46","0",,,
"1769473681.514","1",,"0.24","0.49","-0.85","0",,,
"1769473681.553","1",,,,,,,,
"1769473681.556",,,"-0.79",,,,,,
"1769473681.558",,,,"0.67","-1.52",,,,
"1769473681.559",,,,,,"0",,,
"1769473681.754","0.99",,,,,,,,
"1769473681.756",,,"-0.43",,,,,,
"1769473681.759",,,,"-0.24","-0.91",,,,
"1769473681.762",,,,,,"0",,,
"1769473681.953","0.99",,,,,,,,
"1769473681.956",,,"-0.55",,,,,,
"1769473681.959",,,,"0.12","-0.79",,,,
"1769473681.96",,,,,,"0",,,
"1769473682.154","0.99",,,,,,,,
"1769473682.157",,,"-0.43",,,,,,
"1769473682.158",,,,"0.12","-0.49",,,,
"1769473682.16",,,,,,"0",,,
"1769473682.354","0.99",,,,,,,,
"1769473682.357",,,"-0.61",,,,,,
"1769473682.359",,,,"0.67","-0.79",,,,
"1769473682.36",,,,,,"0",,,
"1769473682.553","1",,,,,,,,
"1769473682.556",,,"-0.3",,,,,,
"1769473682.559",,,,"0","-0.55",,,,
"1769473682.56",,,,,,"0",,,
"1769473682.754","1",,,,,,,,
"1769473682.756",,,"-0.49",,,,,,
"1769473682.759",,,,"0.37","-1.16",,,,
"1769473682.76",,,,,,"0",,,
"1769473682.953","1",,,,,,,,
"1769473682.956",,,"-0.49",,,,,,
"1769473682.959",,,,"0.12","-0.55",,,,
"1769473682.96",,,,,,"0",,,
"1769473683.153","1",,,,,,,,
"1769473683.156",,,"-0.37",,,,,,
"1769473683.159",,,,"0.43","-1.16",,,,
"1769473683.16",,,,,,"0",,,
"1769473683.353","1",,,,,,,,
"1769473683.356",,,"0.18",,,,,,
"1769473683.359",,,,"-0.55","-0.61",,,,
"1769473683.36",,,,,,"0",,,
"1769473683.554","1.01",,,,,,,,
"1769473683.556",,,"-0.12",,,,,,
"1769473683.559",,,,"0","-0.61",,,,
"1769473683.562",,,,,,"0",,,
"1769473683.753","0.99",,,,,,,,
"1769473683.756",,,"-0.24",,,,,,
"1769473683.758",,,,"0.43","-0.73",,,,
"1769473683.76",,,,,,"0",,,
"1769473683.954","0.99",,,,,,,,
"1769473683.956",,,"-0.55",,,,,,
"1769473683.958",,,,"-0.55","-1.04",,,,
"1769473683.96",,,,,,"0",,,
"1769473684.154","1",,,,,,,,
"1769473684.156",,,"-0.37",,,,,,
